Sequence,Variable label,Description,Type,Values,Notes,
21,juice_sweetened,Sweetened juices,binary,"0,1","0=No, 1=Yes. Tax applies to frozen and unfrozen juices that are manufactured using a base of concentrated juice or a pasteurized purée of the fruit pulp with added caloric sweetener. HS code 20.09 - Fruit juices and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter. ",
22,milk_drinks,Sweetened milk/dairy-based drinks,binary,"0,1","0=No, 1=Yes. Tax applies to sweetened milk or other dairy-based beverages, such as flavored milks, sweetened yoghurt-based drinks, or sweetened kefir or other fermented dairy beverages. HS code 22.02.90 and 22.02.99 - Non-alcoholic beverages containing milk and sugar or other sweetening matter. HS code 04.03.90 - Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa. ",
23,lcsb,Low/zero calorie sweetened beverages,binary,"0,1","0=No, 1=Yes. Tax applies to non-alcoholic beverages sweeted with low/zero-calorie (high-intensity) sweeteners, such as aspartame and stevia. HS code 22.02.10.00.11 - Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored - Carbonated soft drink - Containing high intensity sweeteners.",
24,water_unsweetened,Unsweetened water,binary,"0,1","0=No, 1=Yes. Tax applies to waters not containing added sugar or other sweeteners, whether carbonated or not. HS code 22.01.10 and 22.01.90 - Waters, including natural or artifical mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored. ",
25,exclusions,Products excluded,text,,List of products excluded (exempt) from the tax,
26,tiered,Tiered rate structure,binary,"0,1","0: Uniform rate structure; 1: Tiered rate structure. Uniform taxes apply at a single constant or linear rate to all taxed products, irrespective of product characteristics (e.g. $1/litre, or 0.01¢ per gram of sugar). Tiered taxes apply at different rates, depending on product characterisitics, such as sugar content or beverage type. ",
27,basis_tiers,Basis of rate tiers,text,BEV: Beverage category; POM: Place of manufacture; SUGAR: Sugar content thresholds; SWEETENER: Type of sweetener; N/A: Not applicable,Basis by which different tax rates apply,
28,tier_bev,Tiered by beverage type,binary,"0,1","0=No, 1=Yes. Tax rates are tiered by beverage type",
29,tier_sug,Tiered by sugar content,binary,"0,1","0=No, 1=Yes. Tax rates are tiered based on defined sugar content thresholds",
30,tier_pom,Tiered by place of manufacture,binary,"0,1","0=No, 1=Yes. Tax rates are tiered based on place of manufacture - different rates apply for domestic and imported products",
31,tier_swe,Tiered by sweetener type,binary,"0,1","0=No, 1=Yes.  Tax rates are tiered based on type of sweetener used",
32,threshold,Minimum sugar threshold applies,binary,"0,1","0=No, 1=Yes. Tax applies only above a specific sugar threshold. All products with sugar content below the threshold are exempt from the tax",
33,rate,Tax rates,text,,Current tax rate(s) ,
34,targeted,Targeted excise,binary,"0,1,N/A",Applicable to excise taxes only. 1: Targeted excise tax; 0: Untargeted excise tax; N/A: Not applicable. Targeted excise tax: Unsweetened bottled water is exempt or taxed at a lower rate than SSB. Untargeted excise tax: Unsweetened bottled water taxed at the same or higher rate as SSB. ,
35,legislation,Legislation,text,,"Relevant legislation (e.g., law, decree, act, statutory order, amendments)",
36,url1,Primary URL Link,web link,,Link to official legislation or tariff schedule (1),
37,url2,Secondary URL Link (if applicable),web link,,Link to official legislation or tariff schedule (2),
38,url3,Tertiary URL Link (if applicable),web link,,Link to official legislation or tariff schedule (3),
39,notes,Additional notes,text,,Additional notes relevant to tax,
